User ID,Username,Fullname,Follow by you,Is verified,Profile URL,Avatar URL,Biography,Followers,Followings
29213893,demo_user1,Demo User One,YES,NO,https://www.instagram.com/demo_user1,https://example.com/avatar1.jpg,Digital enthusiast 🚀,152,288
174843391,demo_user2,Demo User Two,YES,NO,https://www.instagram.com/demo_user2,https://example.com/avatar2.jpg,Living the dream.,313,166
350593368,demo_user3,Demo User Three,YES,NO,https://www.instagram.com/demo_user3,https://example.com/avatar3.jpg,Photography lover 📸,803,355
509176900,demo_user4,Demo User Four,YES,NO,https://www.instagram.com/demo_user4,https://example.com/avatar4.jpg,Travel | Food | Life,390,512
64007853294,demo_user5,Demo User Five,YES,NO,https://www.instagram.com/demo_user5,https://example.com/avatar5.jpg,@democompany,147,199
38468612,demo_user6,Demo User Six,YES,NO,https://www.instagram.com/demo_user6,https://example.com/avatar6.jpg,💗✨️🧚🏼‍♀️🦋,1207,701
57082856834,demo_business1,Demo Business,YES,NO,https://www.instagram.com/demo_business1,https://example.com/avatar7.jpg,We sell amazing products!,3796,5263
185326775,demo_user7,Demo User Seven,YES,NO,https://www.instagram.com/demo_user7,https://example.com/avatar8.jpg,📍Fictional City || Professional,762,737
62933143121,demo_user8,Demo User Eight,YES,NO,https://www.instagram.com/demo_user8,https://example.com/avatar9.jpg,Just enjoying life,123,138
328160032,demo_user9,Demo User Nine,YES,NO,https://www.instagram.com/demo_user9,https://example.com/avatar10.jpg,🪩✨ Living My Best Life ✨🪩,694,553 
